# SHEtoken WEI Baseline Data v3.0 — 2025
# Women's Empowerment Index — 8-pillar formula
# Countries scored: 83
# Global WEI 2025 (population-weighted): 56.0
#
# Formula:
# WEI = (Empowerment x 0.15) + (Education x 0.12)
#     + (Economic x 0.12) + (Health x 0.12)
#     + (Bodily Autonomy x 0.15) + (Safety & Justice x 0.14)
#     + (Dignity & Welfare x 0.10) + (Digital & Social x 0.10)
#     - (Violence Penalty x 0.10)
#
# Full methodology: wei-index/methodology.md
# Data sources: data/sources.md
# Generated: May 2026 | shetoken.org | WEI v3.0
#
rank,country,iso_code,region,tier,population_millions,empowerment_score,education_score,economic_score,health_score,bodily_autonomy_score,safety_justice_score,dignity_welfare_score,digital_social_score,violence_penalty_score,wei_score,population_weight,ticker,year,wei_version,data_source,verified,notes
13,Belgium,BEL,Europe,1,11.5,80,96,80,96,88,83,86,87,13,85.5,1.0,SHE-BEL,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
14,Austria,AUT,Europe,1,9.0,79,95,79,96,87,82,85,86,12,84.7,1.0,SHE-AUT,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
15,United Kingdom,GBR,Europe,1,67.0,79,96,78,95,87,82,84,87,16,84.2,1.0,SHE-GBR,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
16,France,FRA,Europe,1,67.4,78,95,78,95,86,81,84,86,15,83.6,1.0,SHE-FRA,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
17,Spain,ESP,Europe,1,47.4,76,96,76,95,85,81,83,85,14,82.9,1.0,SHE-ESP,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
18,Portugal,PRT,Europe,1,10.3,74,95,74,94,84,80,82,83,13,81.7,1.0,SHE-PRT,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
19,United States,USA,N. America,1,331.0,77,96,73,93,82,78,82,86,20,81.0,1.0,SHE-USA,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
20,Japan,JPN,Asia,1,125.7,68,97,71,98,80,78,82,85,7,81.0,1.0,SHE-JPN,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
21,Israel,ISR,Middle East,1,9.3,72,96,74,95,78,76,78,82,15,79.4,1.0,SHE-ISR,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
22,South Korea,KOR,Asia,1,51.7,65,97,68,97,78,76,80,82,11,78.6,1.0,SHE-KOR,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
23,Uruguay,URY,S. America,1,3.5,72,95,68,93,78,74,76,78,26,76.4,1.0,SHE-URY,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
24,China,CHN,Asia,2,1412.0,62,93,64,90,62,62,64,68,22,67.9,1.0,SHE-CHN,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
25,Argentina,ARG,S. America,2,45.4,60,93,58,91,70,62,66,70,36,67.2,1.0,SHE-ARG,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
26,Ukraine,UKR,Europe,2,43.5,58,93,62,90,66,60,64,68,28,66.8,1.0,SHE-UKR,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
27,Chile,CHL,S. America,2,19.1,58,92,57,90,68,60,64,68,34,65.8,1.0,SHE-CHL,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
28,Russia,RUS,Europe,2,144.1,56,92,60,88,62,56,60,64,26,64.1,1.0,SHE-RUS,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
29,Kazakhstan,KAZ,Central Asia,2,19.1,54,92,60,88,60,58,60,62,26,63.6,1.0,SHE-KAZ,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
30,Philippines,PHL,Asia,2,111.0,65,91,58,82,60,56,58,62,32,63.1,1.0,SHE-PHL,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
31,Vietnam,VNM,Asia,2,97.3,58,90,56,88,56,58,58,60,20,63.1,1.0,SHE-VNM,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
32,Thailand,THA,Asia,2,71.6,57,88,58,88,58,56,58,62,26,62.6,1.0,SHE-THA,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
33,Brazil,BRA,S. America,2,213.0,55,90,54,88,64,54,58,62,44,60.9,1.0,SHE-BRA,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
34,Sri Lanka,LKA,Asia,2,22.2,56,92,52,85,58,54,56,58,26,60.9,1.0,SHE-LKA,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
35,Colombia,COL,S. America,2,51.0,52,90,50,87,60,54,58,62,42,59.4,1.0,SHE-COL,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
36,Mongolia,MNG,Asia,2,3.3,55,91,52,84,54,52,54,58,36,58.5,1.0,SHE-MNG,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
37,Mexico,MEX,N. America,2,128.9,51,88,48,85,58,50,56,60,46,56.9,1.0,SHE-MEX,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
38,Rwanda,RWA,Africa,2,13.5,64,84,48,72,52,54,52,50,34,56.2,1.0,SHE-RWA,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
39,Turkey,TUR,Europe/Asia,2,84.3,48,82,52,86,52,50,54,58,34,56.2,1.0,SHE-TUR,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
40,Bolivia,BOL,S. America,2,11.8,52,88,48,82,52,50,52,54,40,55.4,1.0,SHE-BOL,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
41,Namibia,NAM,Africa,2,2.6,58,88,50,76,52,52,52,56,50,55.3,1.0,SHE-NAM,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
42,Tunisia,TUN,Africa,2,12.0,46,85,48,82,50,50,52,56,28,55.2,1.0,SHE-TUN,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
43,Botswana,BWA,Africa,2,2.6,56,87,52,74,52,50,52,54,46,54.8,1.0,SHE-BWA,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
44,Peru,PER,S. America,2,32.9,50,88,48,82,50,50,52,54,40,54.8,1.0,SHE-PER,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
45,Indonesia,IDN,Asia,2,273.5,44,82,48,78,50,48,50,54,30,53.2,1.0,SHE-IDN,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
46,South Africa,ZAF,Africa,2,60.0,56,85,50,78,54,46,52,56,70,52.3,1.0,SHE-ZAF,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
47,Honduras,HND,C. America,2,10.3,48,85,46,80,48,46,48,50,54,50.6,1.0,SHE-HND,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
48,Morocco,MAR,Africa,2,37.1,40,76,42,80,44,46,46,48,26,49.6,1.0,SHE-MAR,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
49,Kenya,KEN,Africa,2,54.0,48,80,44,68,44,44,44,46,40,48.0,1.0,SHE-KEN,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
50,Ghana,GHA,Africa,2,32.4,45,82,42,70,42,44,44,46,36,47.9,1.0,SHE-GHA,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
51,India,IND,Asia,2,1408.0,48,74,42,68,42,48,44,48,38,47.7,1.0,SHE-IND,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
52,Cambodia,KHM,Asia,3,16.7,32,74,38,72,34,34,34,36,32,40.5,0.8,SHE-KHM,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
53,Bangladesh,BGD,Asia,3,166.3,38,70,36,68,32,36,34,38,38,39.8,0.8,SHE-BGD,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
54,Laos,LAO,Asia,3,7.3,32,72,36,70,30,32,32,34,28,38.9,0.8,SHE-LAO,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
55,Myanmar,MMR,Asia,3,54.4,34,72,38,70,32,32,34,36,42,38.8,0.8,SHE-MMR,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
56,Jordan,JOR,Middle East,3,10.2,24,80,30,80,28,30,30,36,26,38.8,0.8,SHE-JOR,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
57,Nepal,NPL,Asia,3,29.7,36,68,34,66,30,34,32,36,34,38.2,0.8,SHE-NPL,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
58,Guatemala,GTM,C. America,3,17.1,34,70,36,74,30,30,30,34,50,36.8,0.8,SHE-GTM,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
59,Egypt,EGY,Middle East,3,102.3,24,70,32,74,22,28,28,32,30,34.9,0.8,SHE-EGY,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
60,Zimbabwe,ZWE,Africa,3,15.1,32,72,30,58,24,28,24,28,48,31.9,0.8,SHE-ZWE,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
61,Uganda,UGA,Africa,3,47.1,34,66,30,56,24,28,24,28,50,31.1,0.8,SHE-UGA,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
62,Tanzania,TZA,Africa,3,61.5,30,64,32,58,22,26,22,26,44,30.3,0.8,SHE-TZA,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
63,Zambia,ZMB,Africa,3,18.9,30,64,32,56,22,26,22,26,46,29.9,0.8,SHE-ZMB,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
64,Nigeria,NGA,Africa,3,213.4,28,60,30,52,20,24,22,26,46,27.8,0.8,SHE-NGA,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
65,Papua New Guinea,PNG,Oceania,3,9.1,26,60,28,58,22,24,24,28,58,27.5,0.8,SHE-PNG,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
66,Cameroon,CMR,Africa,3,27.2,28,60,28,52,18,24,20,24,42,27.3,0.8,SHE-CMR,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
67,Iraq,IRQ,Middle East,3,40.2,18,58,22,70,18,22,20,22,34,27.3,0.8,SHE-IRQ,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
68,Mozambique,MOZ,Africa,3,32.2,28,58,28,52,20,24,20,24,44,27.1,0.8,SHE-MOZ,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
69,Ethiopia,ETH,Africa,3,117.9,26,55,28,52,18,24,20,24,36,27.0,0.8,SHE-ETH,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
70,Pakistan,PAK,Asia,3,225.2,24,50,28,62,18,22,20,24,42,26.4,0.8,SHE-PAK,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
71,Ivory Coast,CIV,Africa,3,26.4,26,58,28,50,16,22,20,22,38,26.1,0.8,SHE-CIV,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
72,Haiti,HTI,Caribbean,3,11.4,24,56,26,46,20,22,20,22,46,24.6,0.8,SHE-HTI,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
73,Sudan,SDN,Africa,3,44.9,16,42,20,48,12,18,16,18,34,19.9,0.8,SHE-SDN,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
74,Syria,SYR,Middle East,4,21.3,16,44,16,46,12,12,10,14,50,16.0,0.6,SHE-SYR,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
75,Mali,MLI,Africa,4,22.4,14,36,16,38,8,10,8,12,38,13.7,0.6,SHE-MLI,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
76,DRC,COD,Africa,4,95.9,14,38,14,36,10,12,8,14,60,12.0,0.6,SHE-COD,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
77,Chad,TCD,Africa,4,16.9,12,28,14,32,6,8,6,10,40,10.3,0.6,SHE-TCD,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
78,Yemen,YEM,Middle East,4,33.7,10,28,12,38,8,10,8,10,54,9.9,0.6,SHE-YEM,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
79,Niger,NER,Africa,4,25.1,10,24,12,30,5,8,6,10,34,9.5,0.6,SHE-NER,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
80,South Sudan,SSD,Africa,4,11.2,14,28,14,30,8,8,6,10,52,9.5,0.6,SHE-SSD,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
81,Central African Republic,CAF,Africa,4,4.8,12,30,14,32,8,8,6,10,54,9.4,0.6,SHE-CAF,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
82,Afghanistan,AFG,Asia,4,40.1,6,18,8,32,4,8,6,5,46,6.1,0.6,SHE-AFG,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
83,Somalia,SOM,Africa,4,17.1,8,20,10,28,4,6,4,8,56,5.2,0.6,SHE-SOM,2025,3.0,fallback_estimates,false,Baseline estimate — run pipeline for verified scores
